time,pgn,destination,source,priority,data
4.558299,FFFF,0,0,0, FF0000FF0BFFFFFF
4.585283,FFFF,0,0,0, 6406007DFFFFFFFF
4.615266,FFFF,0,0,0, F0FF7D0000FFFFFF
4.643251,FFFF,0,0,0, FF0000FF0BFFFFFF
4.671233,FFFF,0,0,0, 6406007DFFFFFFFF
4.699218,FFFF,0,0,0, FFFF0825FFFFFFFF
4.727202,FFFF,0,0,0, FFFFFFFFFFFFFFFF
4.755186,FFFF,0,0,0, FFFFFFFFFFFFFFFF
4.78317,FFFF,0,0,0, F0FF7D0000FFFFFF
4.811154,FFFF,0,0,0, FF0000FF0BFFFFFF
4.839136,FFFF,0,0,0, 6406007DFFFFFFFF
4.867121,FFFF,0,0,0, 0000FFFFFFFFFFFF
4.898104,FFFF,0,0,0, F0FF7D0000FFFFFF
4.928086,FFFF,0,0,0, FF0000FF0BFFFFFF
4.95707,FFFF,0,0,0, 6406007DFFFFFFFF
4.985053,FFFF,0,0,0, FF0000FFFFFFFFFF
5.015036,FFFF,0,0,0, FFFFFFFFFFFFFFFF
5.04402,FFFF,0,0,0, F0FF7D0000FFFFFF
5.073003,FFFF,0,0,0, FF0000FF0BFFFFFF
5.101986,FFFF,0,0,0, 6406007DFFFFFFFF
5.131967,FFFF,0,0,0, 64100B0B0000007D
5.163951,FFFF,0,0,0, 7D021EFFFFFFFFFF
5.196931,FFFF,0,0,0, F0FF7D0000FFFFFF
5.225914,FFFF,0,0,0, FF0000FF0BFFFFFF
5.254897,FFFF,0,0,0, 6406007DFFFFFFFF
5.284893,FFFF,0,0,0, FFFFFFFFFFFFFFFF
5.314863,FFFF,0,0,0, FFFFFF00FFFFFFFA
5.344846,FFFF,0,0,0, 5DFFFFF3FFFFFFFF
5.374829,FFFF,0,0,0, 434355FFFFFFFFFF
5.404812,FFFF,0,0,0, 0000FFFF3FFFFFFF
5.435793,FFFF,0,0,0, 0000FFFF3FFFFFFF
5.464777,FFFF,0,0,0, 5C031E031EFFFFFF
5.49476,FFFF,0,0,0, F0FF7D0000FFFFFF
5.524742,FFFF,0,0,0, FF0000FF0BFFFFFF
5.554724,FFFF,0,0,0, 6406007DFFFFFFFF
5.584716,FFFF,0,0,0, F0FF7D0000FFFFFF
5.61669,FFFF,0,0,0, FF0000FF0BFFFFFF
5.649737,FFFF,0,0,0, 6406007DFFFFFFFF
5.682718,FFFF,0,0,0, 0000FFFFFFFFFFFF
5.715699,FFFF,0,0,0, 454943FFFFFFFFFF
5.74868,FFFF,0,0,0, 505452FFFFFFFFFF
5.781661,FFFF,0,0,0, FF0000FFFFFFFFFF
5.814642,FFFF,0,0,0, 7DFFFFFFFFFFFFFF
5.845624,FFFF,0,0,0, F0FF7D0000FFFFFF
5.875607,FFFF,0,0,0, FF0000FF0BFFFFFF
5.906587,FFFF,0,0,0, 6406007DFFFFFFFF
5.93856,FFFF,0,0,0, F0FF7D0000FFFFFF
5.969542,FFFF,0,0,0, FF0000FF0BFFFFFF
6.000525,FFFF,0,0,0, 6406007DFFFFFFFF
6.065502,FFFF,0,0,0, 64100B0B0000007D
6.098482,FFFF,0,0,0, 5C031E031EFFFFFF
6.131459,FFFF,0,0,0, FF003CFF00FFFFFF
6.165441,FFFF,0,0,0, 73FFFFFFFFFFFFFF
6.205407,FFFF,0,0,0, F0FF7D0000FFFFFF
6.241386,FFFF,0,0,0, FF0000FF0BFFFFFF
6.273368,FFFF,0,0,0, 6406007DFFFFFFFF
6.305349,FFFF,0,0,0, F0FF7D0000FFFFFF
6.337331,FFFF,0,0,0, FF0000FF0BFFFFFF
6.369326,FFFF,0,0,0, 6406007DFFFFFFFF
6.402312,FFFF,0,0,0, FFFFFFFFFFFFFFFF
6.434288,FFFF,0,0,0, FCFFFFFFFFFFFFFF
6.467266,FFFF,0,0,0, 0000FFFF3FFFFFFF
6.501254,FFFF,0,0,0, 0000FFFF3FFFFFFF
6.53423,FFFF,0,0,0, F0FF7D0000FFFFFF
6.567208,FFFF,0,0,0, 022C0000180C0000
6.60019,FFFF,0,0,0, FF0000FF0BFFFFFF
6.63417,FFFF,0,0,0, 6406007DFFFFFFFF
6.667151,FFFF,0,0,0, 0000FFFFFFFFFFFF
6.700132,FFFF,0,0,0, F0FF7D0000FFFFFF
6.734103,FFFF,0,0,0, FF0000FF0BFFFFFF
6.767097,FFFF,0,0,0, 6406007DFFFFFFFF
6.800075,FFFF,0,0,0, FF0000FFFFFFFFFF
6.834055,FFFF,0,0,0, C9FFFFFFFF3AFFFF
