Time,PGN,DA,SA,Prioirty,Data
1547754974.980074,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547754974.98899,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754974.989564,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754974.990093,65262,255,0,6,54 43 FF FF FF FF FF FF 
1547754974.995394,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754974.996632,61184,0,6,1,64 15 19 F0 0B 19 93 0E 
1547754974.999085,61444,255,0,3,F0 FF 9C 1E 1C FF FF FF 
1547754975.008931,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.009503,61184,255,0,3,64 06 2D 7D FF FF FF FF 
1547754975.015454,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.016672,61184,0,6,1,64 15 1A F0 04 19 93 0E 
1547754975.017247,65265,255,71,6,FF 00 00 FF FF FF FF FF 
1547754975.017879,61445,255,3,6,80 FF FF FF FF FF FF FF 
1547754975.019003,61444,255,0,3,F0 FF 9C 20 1C FF FF FF 
1547754975.019604,65247,255,0,6,8B 20 1C FF FF FF FF FF 
1547754975.028999,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.02954,61184,255,0,3,64 06 2C 7D FF FF FF FF 
1547754975.030167,65266,255,0,6,21 00 FF FF FF FF FF FF 
1547754975.035038,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547754975.035661,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.036861,61184,0,6,1,64 15 1B F0 0B 19 93 0E 
1547754975.039066,61444,255,0,3,F0 FF 9C 1E 1C FF FF FF 
1547754975.048961,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.049533,61184,255,0,3,64 06 2D 7D FF FF FF FF 
1547754975.050106,61184,6,0,6,64 0E D1 00 FF FF FF FF 
1547754975.055436,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.056653,61184,0,6,1,64 15 1C F0 04 19 93 0E 
1547754975.057226,65097,255,71,3,FF FF FF FF FF FF FF FF 
1547754975.057826,65535,255,71,3,5D FF FF F3 FF FF FF FF 
1547754975.058431,65091,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.059028,65092,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.059558,61444,255,0,3,F0 FF 9C 18 1C FF FF FF 
1547754975.068908,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.069522,61184,255,0,3,64 06 2E 7D FF FF FF FF 
1547754975.070053,61184,255,0,6,64 10 01 01 CC 02 05 7D 
1547754975.070625,65271,255,0,6,FF FF FF FF FF FF 19 01 
1547754975.075378,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.0766,61184,0,6,1,64 15 1D F0 04 19 93 0E 
1547754975.079047,61444,255,0,3,F0 FF 9D 20 1C FF FF FF 
1547754975.089064,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.089639,61184,255,0,3,64 06 2C 7D FF FF FF FF 
1547754975.095389,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.096607,61184,0,6,1,64 15 1E F0 0B 19 93 0E 
1547754975.097158,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547754975.097732,65265,255,71,6,FF 00 00 FF FF FF FF FF 
1547754975.098333,65531,255,6,6,00 05 87 F8 FF FF FF FF 
1547754975.098932,61445,255,3,6,80 FF FF FF FF FF FF FF 
1547754975.099508,61444,255,0,3,F0 FF 9C 26 1C FF FF FF 
1547754975.108889,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.109503,61184,255,0,3,64 06 2B 7D FF FF FF FF 
1547754975.115335,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.116532,61184,0,6,1,64 15 1F F0 0B 19 93 0E 
1547754975.119,61444,255,0,3,F0 FF 9C 1C 1C FF FF FF 
1547754975.129197,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.129767,61184,255,0,3,64 06 2D 7D FF FF FF FF 
1547754975.130342,65266,255,0,6,21 00 FF FF FF FF FF FF 
1547754975.134992,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547754975.13559,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.136764,61184,0,6,1,64 15 10 F0 04 19 93 0E 
1547754975.137338,65535,255,6,6,73 FF FF FF FF FF FF FF 
1547754975.138987,61444,255,0,3,F0 FF 9C 1A 1C FF FF FF 
1547754975.148861,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.149457,61184,255,0,3,64 06 2E 7D FF FF FF FF 
1547754975.150032,61184,6,0,6,64 0E DB 00 FF FF FF FF 
1547754975.155378,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.156628,61184,0,6,1,64 15 11 F0 04 19 93 0E 
1547754975.158932,61444,255,0,3,F0 FF 9D 1C 1C FF FF FF 
1547754975.168977,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.169521,61184,255,0,3,64 06 2D 7D FF FF FF FF 
1547754975.170096,61184,255,0,6,64 10 01 01 CD 02 05 7D 
1547754975.170673,65237,255,0,6,FF FF FD FF FF FF FF FF 
1547754975.17537,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.176597,61184,0,6,1,64 15 12 F0 04 19 93 0E 
1547754975.177167,65097,255,71,3,FF FF FF FF FF FF FF FF 
1547754975.17777,64991,255,71,7,FD FF FF FF FF FF FF FF 
1547754975.178343,65091,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.178925,65092,255,71,3,00 00 FF FF 3F FF FF FF 
1547754975.179445,61444,255,0,3,F0 FF 9C 18 1C FF FF FF 
1547754975.180069,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547754975.188871,61443,255,0,3,FF 00 24 FF 06 FF FF FF 
1547754975.189419,61184,255,0,3,64 06 2E 7D FF FF FF FF 
1547754975.195314,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.19656,61184,0,6,1,64 15 13 F0 04 19 93 0E 
1547754975.198913,61444,255,0,3,F0 FF 9D 1A 1C FF FF FF 
1547754975.208955,61443,255,0,3,FF 00 23 FF 06 FF FF FF 
1547754975.209553,61184,255,0,3,64 06 2E 7D FF FF FF FF 
1547754975.210102,64947,255,0,6,FF FF 94 29 FF FF FF FF 
1547754975.215349,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754975.216572,61184,0,6,1,64 15 14 F0 04 19 93 0E 
1547754975.217148,65265,255,71,6,FF 00 00 FF FF FF FF FF 
1547754975.217773,61446,255,71,6,FF CF FF FF FF FF FF FF 
1547754975.218347,65531,255,6,6,00 05 87 F8 FF FF FF FF 
1547754975.218947,61445,255,3,6,80 FF FF FF FF FF FF FF 
1547754975.219478,61444,255,0,3,F0 FF 9D 22 1C FF FF FF 
1547754975.228851,61443,255,0,3,FF 00 22 FF 06 FF FF FF 
1547754975.229467,61184,255,0,3,64 06 2C 7D FF FF FF FF 
1547754975.229999,65266,255,0,6,21 00 FF FF FF FF FF FF 
1547754975.234897,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547754975.235475,126720,6,3,3,01 01 FF FF FF FF FF F5 
