Time , PGN , DA , SA , Prioirty , Data
1547753779.777336 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753779.777911 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753779.787038 , 61444 , 255 , 0 , 3 , F0 FF 9D 22 1C FF FF FF 
1547753779.791737 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547753779.792337 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.793512 , 61184 , 0 , 6 , 1 , 64 15 1A F0 0B 19 93 0E 
1547753779.797013 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753779.797587 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753779.807039 , 61444 , 255 , 0 , 3 , F0 FF 9D 24 1C FF FF FF 
1547753779.807637 , 65530 , 255 , 0 , 6 , 02 2C 00 00 18 0C 00 81 
1547753779.812188 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.813388 , 61184 , 0 , 6 , 1 , 64 15 1B F0 0B 19 93 0E 
1547753779.813962 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547753779.814538 , 65128 , 255 , 71 , 6 , 3C FF FF FF FF FF FF FF 
1547753779.815138 , 65091 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753779.815711 , 65535 , 255 , 6 , 6 , 73 FF FF FF FF FF FF FF 
1547753779.816288 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753779.816856 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547753779.817438 , 61184 , 255 , 0 , 3 , 64 06 2C 7D FF FF FF FF 
1547753779.818037 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753779.818614 , 65266 , 255 , 0 , 6 , 21 00 FF FF FF FF FF FF 
1547753779.827189 , 61444 , 255 , 0 , 3 , F0 FF 9C 1A 1C FF FF FF 
1547753779.832189 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.833413 , 61184 , 0 , 6 , 1 , 64 15 1C F0 04 19 93 0E 
1547753779.837041 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753779.837614 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753779.838189 , 61184 , 6 , 0 , 6 , 64 0E C1 00 FF FF FF FF 
1547753779.838762 , 65269 , 255 , 0 , 6 , C8 FF FF FF FF 39 FF FF 
1547753779.847041 , 61444 , 255 , 0 , 3 , F0 FF 9D 16 1C FF FF FF 
1547753779.85219 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.853414 , 61184 , 0 , 6 , 1 , 64 15 1D F0 09 19 93 0E 
1547753779.854013 , 65535 , 255 , 71 , 3 , 5E FF FF FF FF FF FF FF 
1547753779.854565 , 65265 , 255 , 71 , 6 , FF 00 00 FF FF FF FF FF 
1547753779.85519 , 65276 , 255 , 71 , 6 , FF FF FF FF FF FF FF FF 
1547753779.855764 , 61184 , 0 , 71 , 6 , F2 20 61 0F FF FF FF FF 
1547753779.856365 , 61446 , 255 , 71 , 6 , FF CF FF FF FF FF FF FF 
1547753779.856964 , 64991 , 255 , 71 , 7 , FC FF FF FF FF FF FF FF 
1547753779.85751 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753779.858117 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753779.858688 , 61184 , 255 , 0 , 6 , 64 10 01 01 C9 02 05 7D 
1547753779.859265 , 61445 , 255 , 3 , 6 , 7D FF FF FF FF FF FF FF 
1547753779.867316 , 61444 , 255 , 0 , 3 , F0 FF 9D 1E 1C FF FF FF 
1547753779.872216 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.87344 , 61184 , 0 , 6 , 1 , 64 15 1E F0 04 19 93 0E 
1547753779.877041 , 61443 , 255 , 0 , 3 , FF 00 23 FF 06 FF FF FF 
1547753779.877616 , 61184 , 255 , 0 , 3 , 64 06 2E 7D FF FF FF FF 
1547753779.878191 , 65129 , 255 , 0 , 6 , 62 24 FA 26 FF FF 60 FE 
1547753779.887142 , 61444 , 255 , 0 , 3 , F0 FF 9D 20 1C FF FF FF 
1547753779.891793 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547753779.892393 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.893567 , 61184 , 0 , 6 , 1 , 64 15 1F F0 0B 19 93 0E 
1547753779.894146 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547753779.894718 , 65531 , 255 , 6 , 6 , 00 05 87 F8 FF FF FF FF 
1547753779.897093 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753779.89767 , 61184 , 255 , 0 , 3 , 64 06 2D 7D FF FF FF FF 
1547753779.907146 , 61444 , 255 , 0 , 3 , F0 FF 9D 1C 1C FF FF FF 
1547753779.907716 , 65247 , 255 , 0 , 6 , 8A 20 1C FF FF FF FF FF 
1547753779.912248 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.913469 , 61184 , 0 , 6 , 1 , 64 15 10 F0 04 19 93 0E 
1547753779.91717 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753779.917741 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753779.91832 , 65266 , 255 , 0 , 6 , 23 00 FF FF FF FF FF FF 
1547753779.927145 , 61444 , 255 , 0 , 3 , F0 FF 9D 1E 1C FF FF FF 
1547753779.932244 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.933496 , 61184 , 0 , 6 , 1 , 64 15 11 F0 04 19 93 0E 
1547753779.934051 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547753779.934675 , 65091 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
