Time,PGN,DA,SA,Priority,Data
10.405788898468018,60928,255,71,6,4D 74 30 04 00 34 02 20 
10.406270503997803,60928,255,6,6,4D 74 30 04 00 0E 00 20 
10.406960248947144,60928,255,3,6,4D 74 30 04 00 03 02 20 
10.433806419372559,60928,255,0,6,56 F5 29 04 00 00 02 20 
10.43603253364563,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
10.436339616775513,59904,255,0,6,00 EE 00 
10.445891618728638,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
10.44641661643982,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.447063446044922,65266,255,0,6,00 00 FF FF FF FF FF FF 
10.45611834526062,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.46597957611084,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.466554403305054,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.467039823532104,61184,6,0,6,64 0E 03 02 FF FF FF FF 
10.475927829742432,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.47739553451538,60928,255,23,6,0C 6E 24 04 00 13 02 20 
10.486021518707275,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.48660135269165,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.48709225654602,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
10.48766565322876,65247,255,0,6,7D B8 27 FF FF FF FF FF 
10.488312721252441,60416,255,0,7,20 22 00 05 FF E3 FE 00 
10.495968580245972,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.505961418151855,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.506558656692505,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.507136821746826,65263,255,0,6,FF FF FF FE FF FF FF FA 
10.516014337539673,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.525964498519897,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.526536226272583,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.536026239395142,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.539181470870972,60160,255,0,7,01 20 1C DD 68 42 DC A0 
10.546056985855103,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.5465567111969,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.54722809791565,65266,255,0,6,00 00 FF FF FF FF FF FF 
10.556051969528198,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.565962314605713,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.566495895385742,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.567140340805054,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
10.576089143753052,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.586038589477539,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.586536884307861,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.587178707122803,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
10.587687730789185,65270,255,0,6,FF 00 45 FF 00 FF FF FF 
10.588306903839111,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
10.59603238105774,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.60599970817566,61184,250,0,6,64 01 FF 00 00 FF FF FF 
10.606574773788452,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.607147693634033,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.616031885147095,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.625939846038818,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.626490354537964,61184,255,0,3,64 06 00 7D FF FF FF FF 
10.636035680770874,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
10.63923454284668,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
10.64600682258606,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
10.64657974243164,61184,255,0,3,64 06 00 7D FF FF FF FF 
